Organization,Organization Name URL,Categories,Headquarters,Regions,Founded,Date_Period,ExitDate,ExitDatePrecision,LastFundingDate,LastFundingAmount,LastFundingAmountCurrency,LastFundingAmountUSD,LastFundingType,LastEquityFundingAmount,LastEquityFundingAmountCurrency,LastEquityFundingAmountUSD,FundingStatus,Top5Investors,NumberInvestors
Morphisec,https://www.crunchbase.com/organization/morphisec,"Cyber Security, Enterprise Software, Network Security","Be'er Sheva, HaDarom, Israel",,2014-01-01,year,,,2018-02-19,12000000,USD,12000000,Series B,12000000,USD,12000000,Early Stage Venture,"Deutsche Telekom, Deutsche Telekom Capital Partners, GE Ventures, General Electric (GE), OurCrowd",8
BT,https://www.crunchbase.com/organization/bt,"Cyber Security, Information Technology, Internet, Telecommunications","London, England, United Kingdom",European Union (EU),1846-10-01,day,2001-11-16,day,2018-05-31,990000000,ZAR,77917110,Corporate Round,990000000,ZAR,77917110,IPO,"AYO Technology Solutions, Sekunjalo Group",2
ZeroFOX,https://www.crunchbase.com/organization/zerofox,"Network Security, Security, Social Media","Baltimore, Maryland, United States","Greater Baltimore-Maryland Area, East Coast, Southern US",2013-01-01,year,,,2017-07-12,40000000,USD,40000000,Series C,40000000,USD,40000000,Late Stage Venture,"ClearSlide, Frank A. Bonsal, Jr., Highland Capital Partners, NEA, New Enterprise Associates",17
Flashpoint,https://www.crunchbase.com/organization/flashpoint-partners,"Business Intelligence, Cyber Security, Information Technology, Security, Software, Telecommunications","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2010-01-01,year,,,2017-07-12,28000000,USD,28000000,Series C,28000000,USD,28000000,Late Stage Venture,"Bloomberg Beta, Georgian Partners, Greycroft, Jump Capital, K2 Intelligence",9
Onapsis,https://www.crunchbase.com/organization/onapsis,"Cyber Security, Network Security, Security","Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",2009-09-01,day,,,2018-04-13,31000000,USD,31000000,Series C,31000000,USD,31000000,Late Stage Venture,"David Bonderman, Endeavor Catalyst, LLR Partners, Schlumberger, TPG",10
Big Switch Networks,https://www.crunchbase.com/organization/big-switch-networks,"Data Center, Information Technology, Network Security, Software","Santa Clara, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2010-01-01,year,,,2017-07-27,30700000,USD,30700000,Venture - Series Unknown,30700000,USD,30700000,,"Greylock Partners, Index Ventures, Intel Capital, Khosla Ventures, Redpoint",12
Veriff,https://www.crunchbase.com/organization/veriff,"Information Technology, Internet, Security","Tallinn, Harjumaa, Estonia",European Union (EU),2015-10-20,day,,,2018-06-19,7700000,USD,7700000,Series A,7700000,USD,7700000,Early Stage Venture,"Elad Gil, LIFT99, Paul Buchheit, Taavet Hinrikus, Y Combinator",10
CHEQ,https://www.crunchbase.com/organization/cheq,"Advertising, Artificial Intelligence, Cyber Security","Tel Aviv, Tel Aviv, Israel",,2014-01-01,year,,,2018-06-16,5000000,USD,5000000,Series A,5000000,USD,5000000,Early Stage Venture,Battery Ventures,1
Securonix,https://www.crunchbase.com/organization/securonix-inc-,"Artificial Intelligence, Cyber Security","Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",2008-01-01,year,,,2017-09-20,29000000,USD,29000000,Series A,29000000,USD,29000000,Early Stage Venture,"Eight Roads Ventures, Volition Capital",2
Infocyte,https://www.crunchbase.com/organization/infocyte-inc,"Cyber Security, Network Security","Austin, Texas, United States",Southern US,2014-04-28,day,,,2018-02-09,5200000,USD,5200000,Series B,5200000,USD,5200000,Early Stage Venture,"Feik Enterprises, LiveOak Venture Partners, Toba Capital",3
Harbor,https://www.crunchbase.com/organization/harbor-platform,"Blockchain, Computer, Cryptocurrency, Security, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2017-09-01,month,,,2018-04-17,28000000,USD,28000000,Corporate Round,28000000,USD,28000000,,"Andreessen Horowitz, Fifth Wall, Founders Fund, South Park Commons, Valor Equity Partners",15
Protenus,https://www.crunchbase.com/organization/protenus,"Analytics, Big Data, Cyber Security, Health Care, Information Technology","Baltimore, Maryland, United States","Greater Baltimore-Maryland Area, East Coast, Southern US",2014-01-01,year,,,2018-01-22,11000000,USD,11000000,Series B,11000000,USD,11000000,Early Stage Venture,"Dreamit Ventures, F-Prime Capital, Kaiser Permanente Ventures, LionBird, TEDCO",9
Awake Security,https://www.crunchbase.com/organization/awake-security,"Cloud Security, Cyber Security, Network Security, Security","Santa Clara, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2014-10-01,month,,,2017-07-17,30000000,USD,30000000,Venture - Series Unknown,30000000,USD,30000000,,"Bain Capital Ventures, Greylock Partners, Three Tree Ventures",3
Cobalt (cobalt.io),https://www.crunchbase.com/organization/cobalt-io,"Cloud Security, Enterprise Applications, Freelance, Penetration Testing, SaaS, Security","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2013-07-15,day,,,2018-05-02,5000000,USD,5000000,Series A,5000000,USD,5000000,Early Stage Venture,"Draper Associates, eLab Ventures, Kima Ventures, Plug and Play, Tim Draper",12
Balbix,https://www.crunchbase.com/organization/balbix,"Computer, Network Security, Security","San Jose, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2015-01-01,year,,,2018-06-27,20000000,USD,20000000,Series B,20000000,USD,20000000,Early Stage Venture,"John Chambers, Mayfield Fund, Mubadala Investment Company, Pankaj Patel, Singtel Innov8",7
NeuVector,https://www.crunchbase.com/organization/neuvector,"Computer, Network Security","San Jose, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2015-01-01,year,,,2017-11-07,7000000,USD,7000000,Series A,7000000,USD,7000000,Early Stage Venture,"Fusion Fund, HWVP, Hummer Winblad Venture Partners, TSVC",3
BehavioSec,https://www.crunchbase.com/organization/behaviosec,"Biometrics, FinTech, Fraud Detection, Network Security, Security","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2007-01-01,year,,,2018-01-29,17500000,USD,17500000,Series B,17500000,USD,17500000,Early Stage Venture,"ABN AMRO Digital Impact Fund, Cisco Investments, Conor Venture Partners, Northzone, Octopus Ventures",11
HYPR,https://www.crunchbase.com/organization/hyprcorp,"Cyber Security, Identity Management, Mobile, Security","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2014-04-01,day,,,2017-10-03,10000000,USD,10000000,Series A,10000000,USD,10000000,Early Stage Venture,"Boldstart Ventures, MasterCard, RRE Ventures, RTP Ventures, Samsung NEXT",6
Knightscope,https://www.crunchbase.com/organization/knightscope-inc,"Hardware, Predictive Analytics, Robotics, Security","Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2013-04-04,day,,,2018-06-06,3500000,USD,3500000,Debt Financing,,,,,"F50, Plug and Play, SeedInvest, Silicon Valley Bank, UpHonest Capital",21
ThreatQuotient,https://www.crunchbase.com/organization/threatq,"Cyber Security, Network Security, Security","Reston, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",2013-03-01,day,,,2017-11-13,30000000,USD,30000000,Series C,30000000,USD,30000000,Late Stage Venture,"Adams Street Partners, Cisco Investments, New Enterprise Associates, NTT DOCOMO Ventures, Silicon Valley Bank",11
ContaAzul,https://www.crunchbase.com/organization/contaazul,"B2B, E-Commerce, Education, Enterprise Resource Planning (ERP), Enterprise Software, Financial Services, Internet, Network Security, SaaS, Sales, Software","Joinville, Santa Catarina, Brazil",,2011-10-26,day,,,2018-04-03,30000000,USD,30000000,Series D,30000000,USD,30000000,Late Stage Venture,"500 Startups, Endeavor Catalyst, Monashees, Ribbit Capital, Tiger Global Management",7
SheerID,https://www.crunchbase.com/organization/sheerid,"Developer APIs, E-Commerce, Retail, Security, Software","Eugene, Oregon, United States","West Coast, Western US",2011-04-01,month,,,2018-01-23,18000000,USD,18000000,Series B,18000000,USD,18000000,Early Stage Venture,"Arnold Venture Group, Centana Growth Partners, Voyager Capital",3
Civic,https://www.crunchbase.com/organization/civic,"Blockchain, Financial Services, Identity Management","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2015-01-01,year,,,2017-09-21,,,,Seed,,,,Seed,"Blockchain Capital, Founder Collective, Genesis One Capital, Pantera Capital, Plug and Play",18
BetterPlace Safety Solutions Pvt. Ltd.,https://www.crunchbase.com/organization/betterplace-safety-solutions-pvt-ltd,"Human Resources, Security, Training","Bangalore City, Karnataka, India",Asia-Pacific (APAC),2015-01-01,day,,,2018-05-22,3000000,USD,3000000,Series A,3000000,USD,3000000,Early Stage Venture,"3one4 Capital, Unitus Ventures, Venture Highway",3
Iron Mountain,https://www.crunchbase.com/organization/iron-mountain,"Big Data, E-Commerce, Security","Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",1951-01-01,year,2015-01-23,day,2018-03-27,700000000,USD,700000000,Post-IPO Debt,,,,IPO,,
FRISS,https://www.crunchbase.com/organization/friss,"Compliance, Cyber Security, Fraud Detection, Information Technology, InsurTech, Risk Management, SaaS, Security, Software","Utrecht, Utrecht, The Netherlands",European Union (EU),2006-08-21,day,,,2017-12-12,15000000,EUR,17613758,Series A,15000000,EUR,17613758,Early Stage Venture,"Aquiline Technology Growth, BlackFin Capital Partners",2
Zeetta Networks,https://www.crunchbase.com/organization/zeetta-networks,"Content Delivery Network, Information Technology, Internet of Things, Network Hardware, Network Security, Smart Building, Smart Home, Software, Telecommunications, Wireless","Bristol, Bristol, City of, United Kingdom",European Union (EU),2015-05-22,day,,,2017-07-25,1600000,GBP,2084234,Seed,1600000,GBP,2084234,Seed,"Bloc Ventures, Breed Reply, IP Group Plc",3
Upstream Security,https://www.crunchbase.com/organization/upstream-security,"Autonomous Vehicles, Cyber Security, Machine Learning","Herzliya, Tel Aviv, Israel",,2017-02-01,day,,,2017-12-13,9000000,USD,9000000,Series A,9000000,USD,9000000,Early Stage Venture,"CRV, Glilot Capital Partners, Israeli Founders, Maniv Mobility",4
Algosec,https://www.crunchbase.com/organization/algosec,"Information Services, Information Technology, Network Security, Risk Management, Security","Ridgefield Park, New Jersey, United States","Greater New York Area, East Coast, Northeastern US",2003-01-01,year,,,2018-01-03,36000000,USD,36000000,Venture - Series Unknown,36000000,USD,36000000,,Claridge Israel,1
